Alias,Token,Speech
1_left,corner_1_left,one left|1 left|what left
1_right,corner_1_right,one right|1 right|what right
2_left,corner_2_left,two left|to left|2 left|too left
2_right,corner_2_right,two right|to right|2 right|too left
3_left,corner_3_left,three left|3 left
3_right,corner_3_right,three right|3 right
4_left,corner_4_left,four left|for left|4 left
4_right,corner_4_right,four right|for right|4 right
5_left,corner_5_left,five left|5 left
5_right,corner_5_right,five right|5 right
6_left,corner_6_left,six left|6 left
6_right,corner_6_right,six right|6 right
flat_left,corner_flat_left,flat left
flat_right,corner_flat_right,flat right
slight_left,corner_flat_left,slight left|sight left
slight_right,corner_flat_right,slight right|sight right
asphalt,detail_tarmac,asphalt
frozen,detail_triple_caution,frozen
hairpin_left,corner_left_acute,hairpin left|heaven left|hair pit left|hairbit left|hair bit left|airpin left|a bit left
hairpin_right,corner_right_acute,hairpin right|heaven right|hair pit right|hairbit right|hair bit right|airpin right|a bit right
half_long,detail_half_long,half long
ice,detail_ice,ice
left_acute,corner_left_acute,left acute|acute hairpin left
open_hairpin_left,corner_open_hairpin_left,open hairpin left
open_hairpin_right,corner_open_hairpin_right,open hairpin right
right_acute,corner_right_acute,right acute|acute hairpin right
square_left,corner_square_left,square left
square_right,corner_square_right,square right
and,detail_and,and|enter
around_bales,detail_around_bales,around bales
around_bridge,detail_around_bridge,around bridge
around_the_sign,detail_around_the_sign,around the sign
bad_camber,detail_bad_camber,bad camber
bad_dip,detail_bad_dip,bad dip
bales,detail_bales,bales
between_bales,detail_between_bales,between bales|through bales
big_crest,detail_big_crest,big crest|big crests
big_cut,detail_big_cut,big cut
big_jump,detail_big_jump,big jump|big jumps
brake,detail_brake,brake|break
bridge,detail_bridge,bridge
bumps,detail_bumps,bumps|bump
care,detail_care,care
caution,detail_caution,caution
double_caution,detail_double_caution,double caution
triple_caution,detail_triple_caution,triple caution
cobble,detail_cobble,cobble|cobbles
concrete,detail_concrete,concrete
continues,detail_continues,continues
crest,detail_crest,crest|crests|breast|breasts
cut,detail_cut,cut
deceptive,detail_deceptive,deceptive
ditches_inside,detail_ditches_inside,ditches inside
ditches_outside,detail_ditches_outside,ditches outside
dip,detail_dip,dip|dips
dont_cut,detail_dont_cut,don't cut|dont cut|do not cut
downhill,detail_downhill,down hill|downhill
dry,detail_dry,dry
early,detail_early,early
extraextra_long,detail_extraextra_long,extra extra long
extra_long,detail_extra_long,extra long
fence,detail_fence,fence|fences
fence_outside,detail_fence_outside,fence outside|fences outside
fence_inside,detail_fence_inside,fence inside|fences inside
finish,detail_finish,finish|over finish
ford,detail_ford,ford
flat,detail_flat,flat
go_straight,detail_go_straight,go straight|keep straight
gravel,detail_gravel,gravel
grid,detail_grid,grid
house,detail_house,house|houses|pass houses
into,detail_into,into|to
jump,detail_jump,jump|jumps
jump_maybe,detail_jump_maybe,jump maybe|jumps maybe
junction,detail_junction,junction
keep_in,detail_keep_in,keep in|keep it
keep_left,detail_keep_left,keep left
keep_middle,detail_keep_middle,keep middle|middle|stay middle
keep_out,detail_keep_out,keep out
keep_right,detail_keep_right,keep right
kinks,detail_kinks,kinks
late,detail_late,late|plate|lake
left_entry_chicane,detail_left_entry_chicane,chicane left entry
logs,detail_logs,logs
logs_inside,detail_logs_inside,logs inside
logs_outside,detail_logs_outside,logs outside
long,detail_long,long
long_crest,detail_long_crest,long crest
longlong,detail_longlong,very long
loose_gravel,detail_loose_gravel,loose gravel
maybe,detail_maybe,maybe
minus,detail_minus,minus
narrows,detail_narrows,narrows|narrow
opens,detail_opens,opens|open|open's
outtrack,detail_outtrack,out track
over_big_bumps,detail_over_big_bumps,over big bumps|over big bump
over_big_crest,detail_over_big_crest,over big crest
over_big_jump,detail_over_big_jump,over big jump
over_bridge,detail_over_bridge,over bridge|pass bridge|across bridge|through bridge
over_bumps,detail_over_bumps,over bumps|over bump
over_crest,detail_over_crest,over crest|over crests
over_dip,detail_over_dip,over dip|over dips
over_double_crest,detail_over_double_crest,over double crest
over_double_jump,detail_over_double_jump,over double jump
over_grid,detail_over_grid,over grid
over_jump,detail_over_jump,over jump|over jumps
over_logs,detail_over_logs,over logs|over log
over_long_crest,detail_over_long_crest,over long crest
over_narrow_bridge,detail_over_narrow_bridge,over narrow bridge
over_small_crest,detail_over_small_crest,over small crest
over_small_bumps,detail_over_small_bumps,over small bump|over small bumps
over_small_jump,detail_over_small_jump,over small jump
over_very_long_crest,detail_over_very_long_crest,over very long crest
pass_junction,detail_pass_junction,pass junction|through junction|over junction|past junction
patchy,detail_patchy,patchy
plus,detail_plus,plus
post,detail_post,post|posts
post_inside,detail_post_inside,post inside|posts inside
post_outside,detail_post_outside,post outside|posts outside
right_entry_chicane,detail_right_entry_chicane,chicane right entry
rocks_inside,detail_rocks_inside,rocks inside|rock inside
rocks_outside,detail_rocks_outside,rocks outside|rock outside
rough,detail_rough,rough
sharp,detail_tightens_bad,sharp
short,detail_short,short|shot|shorts
sign,detail_sign,sign
slippery,detail_slippery,slippery
slow,detail_slow,slow|slowing
small_crest,detail_small_crest,small crest|small crests
small_cut,detail_small_cut,small cut
small_jump,detail_small_jump,small jump
snow,detail_snow,snow
sudden,detail_sudden,sudden|immediate
tarmac,detail_tarmac,tarmac
then,detail_then,then
through_dip,detail_through_dip,through_dip
through_gate,detail_through_gate,through gate|pass gate
through_grid,detail_through_grid,through grid|pass grid
through_houses,detail_through_houses,through houses|through house
through_logs,detail_through_logs,through logs|through log|pass logs
through_narrow_gate,detail_through_narrow_gate,through narrow gate|pass narrow gate
through_narrow_grid,detail_through_narrow_grid,through narrow grid|pass narrow grid
through_posts,detail_post,through post|through posts
through_tunnel,detail_through_tunnel,through tunnel
tightens,detail_tightens,tightens|titans|titus
tightens_bad,detail_tightens_bad,tightens bad|titans bad
tightens_to_hairpin,detail_tightens_to_hairpin,tightens hairpin
tightens_to_squre,detail_tightens_to_squre,tightens square|titans square|tightens square|titans square
tightens_to_1,detail_tightens_to_1,tightens one|titans one|tightens 1|titans 1
tightens_to_2,detail_tightens_to_2,tightens two|titans two|tightens 2|titans 2
tightens_to_3,detail_tightens_to_3,tightens three|titans three|tightens 3|titans 3
tightens_to_4,detail_tightens_to_4,tightens four|titans four|tightens 4|titans 4
tightens_to_5,detail_tightens_to_5,tightens five|titans five|tightens 5|titans 5
tightens_to_6,detail_tightens_to_6,tightens six|tightens 6
opens_to_square,detail_opens_to_square,opens square
opens_to_hairpin,detail_opens_to_hairpin,opens hairpin
opens_to_1,detail_opens_to_1,opens one|opens 1
opens_to_2,detail_opens_to_2,opens two|opens to|opens 2
opens_to_3,detail_opens_to_3,opens three|opens 3
opens_to_4,detail_opens_to_4,opens four|opens 4
opens_to_5,detail_opens_to_5,opens five|opens 5
opens_to_6,detail_opens_to_6,opens six|opens 6
opens_and_tightens,detail_opens_and_tightens,opens and tightens
opens_to_flat,detail_opens_to_flat,opens flat|opens to flat
stake,detail_stake,stake
stake_inside,detail_stake_inside,stake inside
stake_outside,detail_stake_outside,stake outside
tightens_to_acute,detail_tightens_to_acute,tightens acute|tightens hairpin
tree_inside,detail_tree_inside,tree inside|trees inside
tree_outside,detail_tree_outside,tree outside|trees outside
tunnel,detail_tunnel,tunnel|pass tunnel
turn,detail_turn,turn|turned
twisty,detail_twisty,twisty
unseen,detail_unseen,unseen|unseed|and see
uphill,detail_uphill,up hill|uphill
very_long,detail_longlong,very long
wall,detail_wall,wall|walls
wall_inside,detail_wall_inside,wall inside|walls inside
wall_outside,detail_wall_outside,wall outside|walls outside
water_splash,detail_water_splash,water splash
widens,detail_widens,widens
20,number_20,twenty|over twenty|over 20|20
30,number_30,thirty|over thirty|city|over 30|30
40,number_40,forty|over forty|over 40|40
50,number_50,fifty|over fifty|over 50|50|15
60,number_60,sixty|over sixty|over 60|60
70,number_70,seventy|over seventy|over 70|70
80,number_80,eighty|over eighty|over 80|80
90,number_90,ninety|over ninety|over 90|90
100,number_100,one hundred|over one hundred|over 100|100
110,number_110,one hundred and ten|one ten|over one ten|over 110|110
120,number_120,one hundred and twenty|one twenty|over one twenty|over 120|120
130,number_130,one hundred and thirty|one thirty|over one thirty|over 130|130
140,number_140,one hundred and forty|one forty|over one forty|over 140|140
150,number_150,one hundred and fifty|one fifty|over one fifty|over 150|150
160,number_160,one hundred and sixty|one sixty|over one sixty|over 160|160
170,number_170,one hundred and seventy|one seventy|over one seventy|over 170|170
180,number_180,one hundred and eighty|one eighty|over one eighty|over 180|180
190,number_190,one hundred and ninety|one ninety|over one ninety|over 190|190
200,number_200,two hundred|over two hundred|over 200|200
210,number_210,two hundred and ten|two ten|over two ten|over 210|210
220,number_220,two hundred and twenty|two twenty|over two twenty|over 220|220
230,number_230,two hundred and thirty|two thirty|over two thirty|over 230|230
240,number_240,two hundred and forty|two forty|over two forty|over 240|240
250,number_250,two hundred and fifty|two fifty|over two fifty|over 250|250
260,number_260,two hundred and sixty|two sixty|over two sixty|over 260|260
270,number_270,two hundred and seventy|two seventy|over two seventy|over 270|270
280,number_280,two hundred and eighty|two eighty|over two eighty|over 280|280
290,number_290,two hundred and ninety|two ninety|over two ninety|over 290|290
300,number_300,three hundred|over three hundred|over 300|300
350,number_350,three hundred and fifty|three fifty|over three fifty|over 350|350
400,number_400,four hundred|over four hundred|over 400|400
450,number_450,four hundred and fifty|four fifty|over four fifty|over 450|450
500,number_500,five hundred|over five hundred|over 500|500
600,number_600,six hundred|over six hundred|over 600|600
700,number_700,seven hundred|over seven hundred|over 700|700
800,number_800,eight hundred|over eight hundred|over 800|800
900,number_900,nine hundred|over nine hundred|over 900|900
1000,number_1000,one thousand|over one thousand|over 1000|1000
neat,detail_neat,neat
at_junction,detail_at_junction,at junction
